year,How would you rate the course *lecture* material overall?,The ratio of instructors to students was:,How would you rate the instructors overall?,How would you rate the final project?,Did the lectures prepare you adequately for the final project?,How relevant do you think the concepts discussed during class will be for your future work/studies?,Did you need to spend more or less time and effort on this course than on other courses?,How would you rate the course overall?
2017,4,3,4,4,4,5,3,5
2017,4,2,4,4,4,4,3,4
2017,4,3,4,4,4,4,3,4
2017,4,3,4,4,3,3,3,4
2017,4,3,4,4,4,5,4,4
2017,4,2,5,4,4,4,2,5
2017,5,3,5,4,4,5,3,5
2017,5,3,5,4,4,5,5,5
2018,5,3,5,5,5,5,3,5
2018,5,5,5,5,5,5,5,5
2018,5,3,5,5,5,5,4,5
2018,4,3,5,4,4,5,3,5
2018,3,3,5,3,4,5,4,5
2018,5,3,5,3,4,5,4,5
2018,5,3,5,4,5,5,4,5
2018,5,3,5,5,4,5,3,5
2018,4,3,4,4,5,4,4,4
2018,4,3,4,5,4,5,3,5
2018,4,3,4,3,4,5,5,5
2018,5,2,5,4,4,5,5,5
2018,5,3,5,5,5,5,3,5
2018,4,3,4,4,3,3,2,4
